id,sample,treatment,sex,timepoint,lifestage,replicate
GSM4550709,CAH1F,control,female,high2,adult,1
GSM4550710,CAH1M,control,male,high2,adult,1
GSM4550711,CAH2F,control,female,high2,adult,2
GSM4550712,CAH2M,control,male,high2,adult,2
GSM4550713,CAH3F,control,female,high2,adult,3
GSM4550714,CAH3M,control,male,high2,adult,3
GSM4550715,CAH4F,control,female,high2,adult,4
GSM4550716,CAH4M,control,male,high2,adult,4
GSM4550717,CAH5F,control,female,high3,adult,5
GSM4550718,CAH5M,control,male,high3,adult,5
GSM4550719,CAH6F,control,female,high3,adult,6
GSM4550720,CAH6M,control,male,high3,adult,6
GSM4550721,CAH7F,control,female,high3,adult,7
GSM4550722,CAH7M,control,male,high3,adult,7
GSM4550723,CAH8F,control,female,high3,adult,8
GSM4550724,CAH8M,control,male,high3,adult,8
GSM4550725,CAL1F,control,female,low2,adult,1
GSM4550726,CAL1M,control,male,low2,adult,1
GSM4550727,CAL2F,control,female,low2,adult,2
GSM4550728,CAL2M,control,male,low2,adult,2
GSM4550729,CAL3F,control,female,low2,adult,3
GSM4550730,CAL3M,control,male,low2,adult,3
GSM4550731,CAL4F,control,female,low2,adult,4
GSM4550732,CAL4M,control,male,low2,adult,4
GSM4550733,CAL5F,control,female,low3,adult,5
GSM4550734,CAL5M,control,male,low3,adult,5
GSM4550735,CAL6F,control,female,low3,adult,6
GSM4550736,CAL6M,control,male,low3,adult,6
GSM4550737,CAL7F,control,female,low3,adult,7
GSM4550738,CAL7M,control,male,low3,adult,7
GSM4550739,CAL8F,control,female,low3,adult,8
GSM4550740,CAL8M,control,male,low3,adult,8
GSM4550741,CLH1,control,unknown,high1,larvae,1
GSM4550742,CLH2,control,unknown,high1,larvae,2
GSM4550743,CLH3,control,unknown,high1,larvae,3
GSM4550744,CLH4,control,unknown,high1,larvae,4
GSM4550745,CLL1,control,unknown,low1,larvae,1
GSM4550746,CLL2,control,unknown,low1,larvae,2
GSM4550747,CLL3,control,unknown,low1,larvae,3
GSM4550748,CLL4,control,unknown,low1,larvae,4
GSM4550749,FAH1F,fluctuating,female,high2,adult,1
GSM4550750,FAH1M,fluctuating,male,high2,adult,1
GSM4550751,FAH2F,fluctuating,female,high2,adult,2
GSM4550752,FAH2M,fluctuating,male,high2,adult,2
GSM4550753,FAH3F,fluctuating,female,high2,adult,3
GSM4550754,FAH3M,fluctuating,male,high2,adult,3
GSM4550755,FAH4F,fluctuating,female,high2,adult,4
GSM4550756,FAH4M,fluctuating,male,high2,adult,4
GSM4550757,FAH5F,fluctuating,female,high3,adult,5
GSM4550758,FAH5M,fluctuating,male,high3,adult,5
GSM4550759,FAH6F,fluctuating,female,high3,adult,6
GSM4550760,FAH6M,fluctuating,male,high3,adult,6
GSM4550761,FAH7F,fluctuating,female,high3,adult,7
GSM4550762,FAH7M,fluctuating,male,high3,adult,7
GSM4550763,FAH8F,fluctuating,female,high3,adult,8
GSM4550764,FAH8M,fluctuating,male,high3,adult,8
GSM4550765,FAL1F,fluctuating,female,low2,adult,1
GSM4550766,FAL1M,fluctuating,male,low2,adult,1
GSM4550767,FAL2F,fluctuating,female,low2,adult,2
GSM4550768,FAL2M,fluctuating,male,low2,adult,2
GSM4550769,FAL3F,fluctuating,female,low2,adult,3
GSM4550770,FAL3M,fluctuating,male,low2,adult,3
GSM4550771,FAL4F,fluctuating,female,low2,adult,4
GSM4550772,FAL4M,fluctuating,male,low2,adult,4
GSM4550773,FAL5F,fluctuating,female,low3,adult,5
GSM4550774,FAL5M,fluctuating,male,low3,adult,5
GSM4550775,FAL6F,fluctuating,female,low3,adult,6
GSM4550776,FAL6M,fluctuating,male,low3,adult,6
GSM4550777,FAL7F,fluctuating,female,low3,adult,7
GSM4550778,FAL7M,fluctuating,male,low3,adult,7
GSM4550779,FAL8F,fluctuating,female,low3,adult,8
GSM4550780,FAL8M,fluctuating,male,low3,adult,8
GSM4550781,FLH1,fluctuating,unknown,high1,larvae,1
GSM4550782,FLH2,fluctuating,unknown,high1,larvae,2
GSM4550783,FLH3,fluctuating,unknown,high1,larvae,3
GSM4550784,FLH4,fluctuating,unknown,high1,larvae,4
GSM4550785,FLL1,fluctuating,unknown,low1,larvae,1
GSM4550786,FLL2,fluctuating,unknown,low1,larvae,2
GSM4550787,FLL3,fluctuating,unknown,low1,larvae,3
GSM4550788,FLL4,fluctuating,unknown,low1,larvae,4
