Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11782803,2022-04-05 08:55:14,2020-05-13 09:05:40,30876993,9263097900,30876993,300,3491,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782803/SRR11782803.lite.1,SRX8335255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654253,SAMN14910461,simple,7227,Drosophila melanogaster,GSM4550729,,,,,,,no,,,,,GEO,SRA1074989,,public,47AFCE78BAECB96650A016EC06145DCA,16660A664576481EF376D3719935FCA2
SRR11782804,2022-04-05 08:55:14,2020-05-13 08:54:20,33027136,9908140800,33027136,300,3773,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782804/SRR11782804.lite.1,SRX8335256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654254,SAMN14910460,simple,7227,Drosophila melanogaster,GSM4550730,,,,,,,no,,,,,GEO,SRA1074989,,public,B8EA3D3F77B262F09F02AFB653C13FFD,123309101DB9214D991265F4B737E7C6
SRR11782805,2022-04-05 08:55:14,2020-05-13 08:50:59,33579442,10073832600,33579442,300,3811,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782805/SRR11782805.lite.1,SRX8335257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654255,SAMN14910459,simple,7227,Drosophila melanogaster,GSM4550731,,,,,,,no,,,,,GEO,SRA1074989,,public,0A06CD10B90D3A1C72625EDAE1834F36,6FE3ED7931EAD9E2D24516C4D59CABB8
SRR11782806,2022-04-05 08:55:14,2020-05-13 08:57:50,35144296,10543288800,35144296,300,3994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782806/SRR11782806.lite.1,SRX8335258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654256,SAMN14910458,simple,7227,Drosophila melanogaster,GSM4550732,,,,,,,no,,,,,GEO,SRA1074989,,public,EF4BBA9F6B43C5162E4228A5078304D3,21D3FE35496593163D3EE2FE23022F6F
SRR11782807,2022-04-05 08:55:14,2020-05-13 08:49:35,31252208,9375662400,31252208,300,3534,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782807/SRR11782807.lite.1,SRX8335259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654257,SAMN14910457,simple,7227,Drosophila melanogaster,GSM4550733,,,,,,,no,,,,,GEO,SRA1074989,,public,029793D82CAE880A648D227EFBBDD396,1F82E2840412E3DCE7A224F120BC2126
SRR11782808,2022-04-05 08:55:14,2020-05-13 08:51:43,32364626,9709387800,32364626,300,3692,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782808/SRR11782808.lite.1,SRX8335260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654258,SAMN14910456,simple,7227,Drosophila melanogaster,GSM4550734,,,,,,,no,,,,,GEO,SRA1074989,,public,F3B6000DA59F7BF0B223C868C513F583,9B05A11F63C5A5357E57B1BCC90B4282
SRR11782809,2022-04-05 08:55:14,2020-05-13 08:54:26,35605313,10681593900,35605313,300,4101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782809/SRR11782809.lite.1,SRX8335261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654259,SAMN14910455,simple,7227,Drosophila melanogaster,GSM4550735,,,,,,,no,,,,,GEO,SRA1074989,,public,680B010DF8E146CC85EFF9438F8E28E1,E95B6262B39F5B55DBAC105174F70D51
SRR11782810,2022-04-05 08:55:15,2020-05-13 08:48:26,34784369,10435310700,34784369,300,3968,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782810/SRR11782810.lite.1,SRX8335262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654260,SAMN14910449,simple,7227,Drosophila melanogaster,GSM4550736,,,,,,,no,,,,,GEO,SRA1074989,,public,05EE360F9E18D8C8A0E7EC3A7451E3B5,C42B9DFA9B86F5C19DC16908C911C321
SRR11782811,2022-04-05 08:55:15,2020-05-13 08:57:05,38503699,11551109700,38503699,300,4434,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782811/SRR11782811.lite.1,SRX8335263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654261,SAMN14910448,simple,7227,Drosophila melanogaster,GSM4550737,,,,,,,no,,,,,GEO,SRA1074989,,public,EAE005B67842EE9CA34651000E00EE88,F3DBD0A8C49747EB9A002DAB1688B25F
SRR11782812,2022-04-05 08:55:15,2020-05-13 08:49:20,33271815,9981544500,33271815,300,3753,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11782/SRR11782812/SRR11782812.lite.1,SRX8335264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP261393,PRJNA632473,3,632473,SRS6654262,SAMN14910488,simple,7227,Drosophila melanogaster,GSM4550738,,,,,,,no,,,,,GEO,SRA1074989,,public,7AA31F5CCC6D3E8A328C2EC676B5F7C3,837828DD5E88621A137797B223BCA652
