"ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position","end_position"
"FBgn0036214","CG7264","","protein_coding","3L",11829030,11830844
"FBgn0014931","kipf","kipferl","protein_coding","3R",7913851,7916550
"FBgn0014930","Rfk","Riboflavin kinase","protein_coding","3R",7912017,7913290
"FBgn0032868","CG17472","","protein_coding","2L",20634515,20635167
"FBgn0264483","asRNA:CR43891","antisense RNA:CR43891","ncRNA","3L",16213928,16214376
"FBgn0027562","CG10345","","protein_coding","3R",16597073,16604861
"FBgn0027563","CG9631","","protein_coding","3R",14225098,14226762
"FBgn0027560","Tps1","Trehalose-6-phosphate synthase 1","protein_coding","2L",4388327,4392778
"FBgn0027561","CG18659","","protein_coding","2R",9123304,9132030
"FBgn0027567","Ciz1","Ciz1 zinc finger protein","protein_coding","3L",9864639,9870674
"FBgn0027564","CG3149","","protein_coding","X",5692945,5695205
"FBgn0027565","CG5498","","protein_coding","3L",20382405,20384109
"FBgn0027568","Cand1","Cullin-associated and neddylation-dissociated 1","protein_coding","2L",10358134,10362707
"FBgn0027569","cert","ceramide transfer protein","protein_coding","3L",8282528,8289870
"FBgn0266044","lncRNA:CR44809","long non-coding RNA:CR44809","ncRNA","2L",22169668,22170204
"FBgn0266045","lncRNA:CR44810","long non-coding RNA:CR44810","ncRNA","2R",24325027,24330277
"FBgn0266046","asRNA:bsAS","blistered anti-sense lncRNA","ncRNA","2R",24351477,24369689
"FBgn0266047","CG44812","","protein_coding","2R",24350969,24351389
"FBgn0266040","lncRNA:CR44805","long non-coding RNA:CR44805","ncRNA","2R",23840577,23840777
"FBgn0010438","mtSSB","mitochondrial single stranded DNA-binding protein","protein_coding","3R",16204194,16205250
"FBgn0266042","asRNA:CR44807","antisense RNA:CR44807","ncRNA","2R",23812185,23814771
"FBgn0266043","lncRNA:CR44808","long non-coding RNA:CR44808","ncRNA","2L",2082031,2082347
"FBgn0266048","lncRNA:CR44813","long non-coding RNA:CR44813","ncRNA","2R",24390777,24391977
"FBgn0266049","lncRNA:CR44814","long non-coding RNA:CR44814","ncRNA","2R",24059477,24059913
"FBgn0267463","asRNA:CR45813","antisense RNA:CR45813","ncRNA","3L",1549448,1549900
"FBgn0037356","CG12170","","protein_coding","3R",5637234,5638657
"FBgn0262057","Spn77Ba","Serpin 77Ba","protein_coding","3L",20317190,20320116
"FBgn0030645","Alg14","ALG14, UDP-N-acetylglucosaminyltransferase subunit","protein_coding","X",15472164,15472859
"FBgn0040354","CG14418","","protein_coding","X",2882226,2883661
"FBgn0085218","CG34189","","protein_coding","2R",16754444,16754925
"FBgn0085219","CG34190","","protein_coding","2R",16946455,16947554
"FBgn0010435","emp","epithelial membrane protein","protein_coding","2R",24976456,24986070
"FBgn0259482","Mob3","MOB kinase activator 3","protein_coding","2L",10265336,10266570
"FBgn0033579","CG13229","","protein_coding","2R",11139304,11172206
"FBgn0085210","CG34181","","protein_coding","2L",9367640,9368434
"FBgn0085211","RpS28-like","Ribosomal protein S28-like","protein_coding","2L",9436804,9437227
"FBgn0085212","CG34183","","protein_coding","2L",9890061,9890772
"FBgn0085213","CG34184","","protein_coding","2R",14365656,14366658
"FBgn0085214","CG34185","","protein_coding","2R",14373829,14374395
"FBgn0040353","CG14417","","protein_coding","X",2875428,2876533
"FBgn0262899","CG43254","","protein_coding","3R",7738965,7739563
"FBgn0033434","CG1902","","protein_coding","2R",9594045,9605624
"FBgn0036117","CG6321","","protein_coding","3L",11059437,11061224
"FBgn0266102","CR44839","","pseudogene","X",644226,644616
"FBgn0036111","Aps","Aps pyrophosphatase","protein_coding","3L",10894776,10899123
"FBgn0036110","Cpr67Fb","Cuticular protein 67Fb","protein_coding","3L",10894173,10894693
"FBgn0036112","CG14147","","protein_coding","3L",10972648,10973476
"FBgn0036816","Indy","I'm not dead yet","protein_coding","3L",18828632,18846267
"FBgn0033439","CG1773","","protein_coding","2R",9706267,9707580
"FBgn0033438","Mmp2","Matrix metalloproteinase 2","protein_coding","2R",9611139,9683858
"FBgn0032082","CG18088","","protein_coding","2L",8967535,8970627
"FBgn0040752","Prosap","Prosap","protein_coding","2R",14060456,14140902
"FBgn0015553","tos","tosca","protein_coding","2L",18679631,18682075
"FBgn0015550","tap","target of Poxn","protein_coding","3L",17359682,17361811
"FBgn0029174","Fkbp59","FK506-binding protein 59kD","protein_coding","2L",9888005,9890119
"FBgn0040754","CG17059","","protein_coding","2R",13220283,13221015
"FBgn0040755","CG17580","","protein_coding","2R",12806614,12807811
"FBgn0039294","Cad96Cb","Cadherin 96Cb","protein_coding","3R",25224156,25232321
"FBgn0015558","tty","tweety","protein_coding","X",21328613,21339676
"FBgn0040759","CG13177","","protein_coding","2R",12163675,12164896
"FBgn0010043","GstD7","Glutathione S transferase D7","protein_coding","3R",12378500,12379255
"FBgn0267445","Su(Ste):CR45795","Supressor of Stellate:CR45795","ncRNA","Y",1003209,1004639
"FBgn0038247","Cad88C","Cadherin 88C","protein_coding","3R",14630478,14641776
"FBgn0036090","Cnep1r2","CTD nuclear envelope phosphatase 1 regulatory subunit 2","protein_coding","3L",10638146,10639678
"FBgn0038244","CG7987","","protein_coding","3R",14570472,14575887
"FBgn0038243","CG8066","","protein_coding","3R",14567611,14568847
"FBgn0038242","CG14852","","protein_coding","3R",14565927,14566513
"FBgn0038241","CG8087","","protein_coding","3R",14564323,14564805
"FBgn0038240","CG14851","","protein_coding","3R",14562340,14562845
"FBgn0051233","CG31233","","protein_coding","3R",21749853,21753237
"FBgn0029170","TwdlT","TweedleT","protein_coding","3R",27049220,27051004
"FBgn0038248","CG7886","","protein_coding","3R",14626676,14642563
"FBgn0033573","Obp47a","Odorant-binding protein 47a","protein_coding","2R",10909923,10910485
"FBgn0032864","CG2493","","protein_coding","2L",20461585,20463444
"FBgn0036094","CG14153","","protein_coding","3L",10643528,10644615
"FBgn0036373","Tgi","Tondu-domain-containing Growth Inhibitor","protein_coding","3L",13486797,13502492
"FBgn0036372","Abp1","Actin binding protein 1","protein_coding","3L",13483533,13486280
"FBgn0036374","Spt20","Spt20","protein_coding","3L",13502707,13511541
"FBgn0036377","CG10710","","protein_coding","3L",13516273,13519605
"FBgn0036376","Liprin-beta","Liprin-beta","protein_coding","3L",13513254,13516276
"FBgn0265703","lncRNA:CR44510","long non-coding RNA:CR44510","ncRNA","3L",69138,69894
"FBgn0267319","lncRNA:CR45755","long non-coding RNA:CR45755","ncRNA","3L",16177345,16177635
"FBgn0267318","lncRNA:CR45754","long non-coding RNA:CR45754","ncRNA","3L",16176810,16177256
"FBgn0051909","CG31909","","protein_coding","2L",7257512,7258198
"FBgn0051908","CG31908","","protein_coding","2L",7024829,7027389
"FBgn0267313","lncRNA:CR45749","long non-coding RNA:CR45749","ncRNA","3L",13087491,13088588
"FBgn0051729","CG31729","","protein_coding","2L",13289997,13301668
"FBgn0267311","lncRNA:CR45747","long non-coding RNA:CR45747","ncRNA","3L",1235472,1235702
"FBgn0267310","lncRNA:CR45746","long non-coding RNA:CR45746","ncRNA","3L",12195787,12196049
"FBgn0267317","lncRNA:CR45753","long non-coding RNA:CR45753","ncRNA","3L",13286388,13287186
"FBgn0267316","lncRNA:CR45752","long non-coding RNA:CR45752","ncRNA","3L",13285265,13285835
"FBgn0267315","lncRNA:TS16","long noncoding RNA: testis-specific 16","ncRNA","3R",16801299,16801877
"FBgn0267314","lncRNA:CR45750","long non-coding RNA:CR45750","ncRNA","3R",16800600,16801203
"FBgn0266939","lncRNA:CR45390","long non-coding RNA:CR45390","ncRNA","3L",18597995,18598429
"FBgn0262327","mir-2281","mir-2281 stem loop","ncRNA","3R",14396399,14396501
"FBgn0005614","trpl","transient receptor potential-like","protein_coding","2R",9753697,9765518
"FBgn0052847","CG32847","","protein_coding","3L",15121572,15122301
"FBgn0005617","msl-1","male-specific lethal 1","protein_coding","2L",18683720,18688800
"FBgn0005612","Sox14","Sox box protein 14","protein_coding","2R",23978801,23985177
"FBgn0025809","Paf-AHalpha","Platelet-activating factor acetylhydrolase alpha","protein_coding","X",15784009,15785583
"FBgn0027338","Kap-alpha3","karyopherin alpha3","protein_coding","3R",9574484,9577733
"FBgn0005619","Hdc","Histidine decarboxylase","protein_coding","2R",10237988,10246077
"FBgn0039419","CG12290","","protein_coding","3R",26230248,26234700
"FBgn0266041","asRNA:CR44806","antisense RNA:CR44806","ncRNA","2R",23908474,23908875
"FBgn0267270","lncRNA:CR45706","long non-coding RNA:CR45706","ncRNA","2L",3264168,3265714
"FBgn0262351","CG43049","","protein_coding","3L",18925090,18926108
"FBgn0262352","CG43050","","protein_coding","2L",13119294,13120767
"FBgn0262353","CG43051","","protein_coding","2L",12507939,12508504
"FBgn0267274","lncRNA:CR45710","long non-coding RNA:CR45710","ncRNA","X",18676168,18676761
"FBgn0262355","lncRNA:CR43053","long non-coding RNA:CR43053","ncRNA","2L",16944723,16945374
"FBgn0267276","asRNA:CR45712","antisense RNA:CR45712","ncRNA","2L",2006867,2007688
"FBgn0267277","asRNA:CR45713","antisense RNA:CR45713","ncRNA","2L",21232745,21234035
"FBgn0267278","asRNA:CR45714","antisense RNA:CR45714","ncRNA","X",18480072,18481132
"FBgn0262359","CG43057","","protein_coding","2L",8243323,8244003
"FBgn0265812","lncRNA:CR44601","long non-coding RNA:CR44601","ncRNA","2L",15822296,15822942
"FBgn0265813","lncRNA:CR44602","long non-coding RNA:CR44602","ncRNA","2L",15807181,15810319
"FBgn0265810","asRNA:CR44599","antisense RNA:CR44599","ncRNA","2L",13384822,13385403
"FBgn0265811","asRNA:CR44600","antisense RNA:CR44600","ncRNA","2L",13398858,13399831
"FBgn0265816","lncRNA:CR44605","long non-coding RNA:CR44605","ncRNA","2L",18003368,18003616
"FBgn0265817","lncRNA:CR44606","long non-coding RNA:CR44606","ncRNA","2L",20947135,20948170
"FBgn0265814","lncRNA:CR44603","long non-coding RNA:CR44603","ncRNA","2L",1618637,1626021
"FBgn0265815","lncRNA:CR44604","long non-coding RNA:CR44604","ncRNA","2L",18002847,18003083
"FBgn0260933","rempA","reduced mechanoreceptor potential A","protein_coding","2L",553742,560310
"FBgn0035876","Pex2","Peroxin 2","protein_coding","3L",8339051,8340276
"FBgn0035875","Cpr66Cb","Cuticular protein 66Cb","protein_coding","3L",8336672,8338595
"FBgn0265819","lncRNA:CR44608","long non-coding RNA:CR44608","ncRNA","2L",4228921,4229458
"FBgn0035873","CG13670","","protein_coding","3L",8320763,8322280
"FBgn0035872","Cpsf6","Cleavage and polyadenylation specific factor 6","protein_coding","3L",8310493,8315502
"FBgn0035871","BI-1","Bax Inhibitor-1","protein_coding","3L",8307145,8308941
"FBgn0035870","Gr66a","Gustatory receptor 66a","protein_coding","3L",8305336,8306980
"FBgn0028866","CG18420","","protein_coding","2L",14794516,14796642
"FBgn0028867","CR15280","","pseudogene","2L",14781715,14783110
"FBgn0036565","CG5235","","protein_coding","3L",16087627,16090392
"FBgn0028646","aralar1","aralar1","protein_coding","3R",30445635,30455867
"FBgn0028863","stol","stolid","protein_coding","2L",15644183,15718272
"FBgn0028644","beat-Ic","beaten path Ic","protein_coding","2L",16000291,16041703
"FBgn0028645","beat-Ib","beaten path Ib","protein_coding","2L",15905134,15962435
"FBgn0028648","mRpL50","mitochondrial ribosomal protein L50","protein_coding","3L",7243080,7243933
"FBgn0028868","CG4701","","protein_coding","2L",14765908,14767225
"FBgn0025549","unc-119","unc-119","protein_coding","X",7288367,7291298
"FBgn0261847","CG42779","","protein_coding","3R",17121577,17122087
"FBgn0262688","CR43158","","pseudogene","2L",20639015,20639578
"FBgn0262689","asRNA:CR43159","antisense RNA:CR43159","ncRNA","3L",15520318,15521554
